ID_CLIENTE, NOME_CLIENTE
1, Joao da Silva
2, Maria Santos
3, Pedro Oliveira
4, Ana Pereira
5, Lucas Souza
6, Fernanda Almeida
7, Carlos Santos
8, Gabriela Silva
9, Ricardo Fernandes
10, Isabela Costa
11, Matheus Lima
12, Laura Gomes
13, Tiago Castro
14, Leticia Rodrigues
15, Rafael Oliveira
16, Camila Santos
17, Alex Pereira
18, Amanda Silva
19, Gustavo Almeida
20, Mariana Sousa
21, Felipe Santos
22, Luana Oliveira
23, Eduardo Lima
24, Julia Gomes
25, Andre Fernandes
26, Sofia Castro
27, Bernardo Rodrigues
28, Beatriz Lima
29, Guilherme Almeida
30, Raquel Costa
